PartNumber,Description,Sellable,Length,Weight,Width,Height,productPageUrl,image1_url,image1_name,image2_url,image2_name,image3_url,image3_name,image4_url,image4_name,image5_url,image5_name,image6_url,image6_name,image7_url,image7_name,image8_url,image8_name,image9_url,image9_name
3651938,Air Fuel Throttle Valve,Y,14.13 In,23 Lbs,14 In,10.88 In,https://parts.cummins.com/esn-entry/main/part-details/3651938/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/365/3651938/3651938_iso2.png?x-image-size=medium,3651938_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/365/3651938/3651938_iso.png?x-image-size=medium,3651938_image2.jpg,,,,,,,,,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/3651938/part,no image available,no image available,,,,,,,,,,,,,,,,
3649842,Fuel Transfer Pump,Y,0 mm,0 Kgs,0 mm,0 mm,https://parts.cummins.com/esn-entry/main/part-details/3649842/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/364/3649842/3649842_iso2.png?x-image-size=medium,3649842_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/364/3649842/3649842_iso.png?x-image-size=medium,3649842_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/364/3649842/3649842_bottom.png?x-image-size=medium,3649842_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/364/3649842/3649842_top.png?x-image-size=medium,3649842_image4.jpg,,,,,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/3649842/part,no image available,no image available,,,,,,,,,,,,,,,,
5254004,Fuel Pump,Y,55 In,13.23 Lbs,33 In,43 In,https://parts.cummins.com/esn-entry/main/part-details/5254004/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
5254004,Fuel Pump,Y,55 In,13.23 Lbs,33 In,43 In,https://parts.cummins.com/esn-entry/main/part-details/5254004/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
4066514,Fuel Control Module,Y,33 mm,11.908 Kgs,16 mm,21 mm,https://parts.cummins.com/esn-entry/main/part-details/4066514/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/406/4066514/4066514_iso2.png?x-image-size=medium,4066514_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/406/4066514/4066514_iso.png?x-image-size=medium,4066514_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/406/4066514/4066514_front.png?x-image-size=medium,4066514_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/406/4066514/4066514_right.png?x-image-size=medium,4066514_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/406/4066514/4066514_top.png?x-image-size=medium,4066514_image5.jpg,,,,,,,,
4066514,Fuel Control Module,Y,33 mm,11.908 Kgs,16 mm,21 mm,https://parts.cummins.com/esn-entry/main/part-details/4066514/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/406/4066514/4066514_iso2.png?x-image-size=medium,4066514_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/406/4066514/4066514_iso.png?x-image-size=medium,4066514_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/406/4066514/4066514_front.png?x-image-size=medium,4066514_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/406/4066514/4066514_right.png?x-image-size=medium,4066514_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/406/4066514/4066514_top.png?x-image-size=medium,4066514_image5.jpg,,,,,,,,
3647768,Fuel Transfer Pump,Y,28 mm,16 Kgs,17 mm,21 mm,https://parts.cummins.com/esn-entry/main/part-details/3647768/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/364/3647768/3647768_iso.png?x-image-size=medium,3647768_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/364/3647768/3647768_iso2.png?x-image-size=medium,3647768_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/364/3647768/3647768_back.png?x-image-size=medium,3647768_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/364/3647768/3647768_bottom.png?x-image-size=medium,3647768_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/364/3647768/3647768_front.png?x-image-size=medium,3647768_image5.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/364/3647768/3647768_top.png?x-image-size=medium,3647768_image6.jpg,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/3647768/part,no image available,no image available,,,,,,,,,,,,,,,,
